location,bucket_id,High-Frequency Acceleration_count,High-Frequency Acceleration_mean,High-Frequency Acceleration_std,High-Frequency Acceleration_min,High-Frequency Acceleration_max,Low-Frequency Acceleration Z_count,Low-Frequency Acceleration Z_mean,Low-Frequency Acceleration Z_std,Low-Frequency Acceleration Z_min,Low-Frequency Acceleration Z_max,Temperature_count,Temperature_mean,Temperature_std,Temperature_min,Temperature_max,Vibration Velocity Z_count,Vibration Velocity Z_mean,Vibration Velocity Z_std,Vibration Velocity Z_min,Vibration Velocity Z_max,alignment_status_rating,bearing_lubrication_rating,crest_factor_rating,electromagnetic_status_rating,fit_condition_rating,kurtosis_opt_rating,rms_10_25khz_rating,rms_1_10khz_rating,rotor_balance_status_rating,rubbing_condition_rating,velocity_rms_rating,peak_value_opt_rating,datetime,bucket_end
Gear Reducer,15,240,1.7733931666666665,0.159286365500258,1.49439,2.29402,240,1.70987425,0.16420932835591412,1.41373,2.25075,240,38.8275,0.14316359837467,38.5,39.0,240,2.5716405833333336,0.50949522005107,1.7787,3.95396,88.19,97.29,90.27,98.0,90.11,86.83,98.0,96.98,81.31,96.47,70.65,91.56,2025-04-01 04:40:05,2025-04-01 05:00:00
Gear Reducer,16,240,1.7098642083333333,0.1293363448944946,1.52012,2.23753,240,1.6291265000000001,0.1412504226329071,1.42716,2.19329,240,38.775,0.06753272877698935,38.6,38.9,240,2.4757411666666664,0.4396294169159747,1.83564,3.91362,79.23,97.42,89.11,98.0,84.34,85.17,98.0,97.14,88.45,95.92,69.86,91.09,2025-04-01 05:00:05,2025-04-01 05:20:00
Gear Reducer,17,240,1.7053904166666667,0.15610545185409272,1.48088,2.2585,240,1.6244669166666665,0.17026982355135786,1.38485,2.215,240,38.625,0.048835819215947075,38.5,38.7,240,2.4744196250000003,0.48310443970883327,1.7491,3.87919,88.69,97.05,88.95,98.0,89.88,84.42,98.0,96.89,85.74,95.96,66.53,90.88,2025-04-01 05:20:05,2025-04-01 05:40:00
Gear Reducer,18,240,1.7606778333333333,0.10108867847069324,1.5501,2.16224,240,1.6926249583333333,0.10220252080343051,1.46735,2.11476,240,38.650416666666665,0.050102753552363474,38.6,38.7,240,2.5720113333333336,0.38827969146704827,1.88747,3.6594,85.15,97.48,89.78,98.0,85.86,85.8,98.0,97.15,86.04,94.8,75.22,92.14,2025-04-01 05:40:05,2025-04-01 06:00:00
Gear Reducer,19,240,1.7105767083333334,0.09811286994128451,1.51252,2.13607,240,1.634935375,0.09816065895025951,1.43844,2.0895,240,38.39791666666667,0.08651694233512468,38.2,38.6,240,2.5191177916666665,0.4394428904985802,1.76862,3.74117,86.95,97.23,89.77,98.0,89.08,85.31,98.0,96.95,82.19,95.91,68.43,91.51,2025-04-01 06:00:05,2025-04-01 06:20:00
Gear Reducer,20,240,1.7308890416666667,0.09268867860615744,1.53179,1.94944,240,1.6554875833333333,0.0933592293084307,1.43721,1.87715,240,38.27333333333333,0.06562647355056563,38.1,38.4,240,2.5390905833333335,0.4053366339906725,1.84045,3.31054,84.32,97.44,89.68,98.0,89.55,85.59,98.0,97.05,80.39,95.83,69.89,91.32,2025-04-01 06:20:05,2025-04-01 06:40:00
Gear Reducer,21,240,1.6745720833333333,0.07570895702546848,1.5279,1.86025,240,1.5830672083333333,0.07649985633015143,1.43207,1.78349,240,38.39083333333333,0.08629601030580131,38.3,38.6,240,2.4350347083333332,0.378254272034102,1.81288,3.1889,82.87,97.4,90.04,98.0,86.13,85.21,98.0,96.92,84.28,95.9,67.42,91.56,2025-04-01 06:40:05,2025-04-01 07:00:00
Gear Reducer,22,240,1.804141875,0.1628762158093868,1.54752,2.22537,240,1.7461179583333333,0.16766693955477185,1.47259,2.18077,240,38.50875,0.06633328427351116,38.4,38.6,240,2.6667264583333337,0.5270075958194728,1.85631,3.85068,83.49,97.39,89.61,98.0,87.84,85.39,98.0,96.9,84.09,95.88,67.04,91.3,2025-04-01 07:00:05,2025-04-01 07:20:00
Gear Reducer,23,240,1.6838431249999999,0.09347055304664789,1.5035,1.91734,240,1.596709625,0.10031526253441368,1.40881,1.84423,240,38.556666666666665,0.11258345734387887,38.4,38.8,240,2.4388657499999997,0.38711646770726066,1.76557,3.33161,83.5,97.64,89.41,98.0,89.33,85.32,98.0,96.95,81.54,96.47,70.14,90.66,2025-04-01 07:20:05,2025-04-01 07:40:00
Gear Reducer,24,240,1.7264367916666667,0.13188732174135243,1.546,2.22361,240,1.6489662916666668,0.14165636193615036,1.45876,2.18217,240,38.78208333333334,0.12564408677347788,38.5,39.0,240,2.50998425,0.44975025242917266,1.87128,3.81513,82.98,97.46,89.51,98.0,85.44,84.38,98.0,97.12,88.29,96.49,71.1,91.14,2025-04-01 07:40:05,2025-04-01 08:00:00
Gear Reducer,25,240,1.7953573333333332,0.17861892987122138,1.53417,2.23522,240,1.7390565833333334,0.18433186984393243,1.43228,2.18994,240,38.705,0.1416283072194845,38.5,38.9,240,2.6674877083333333,0.5545063497311965,1.85541,3.86554,86.59,97.12,88.87,98.0,90.23,84.78,98.0,96.95,83.23,96.71,65.44,90.36,2025-04-01 08:00:05,2025-04-01 08:20:00
Gear Reducer,26,240,1.6481577083333332,0.07382023561287025,1.4783,1.78912,240,1.5507530833333334,0.07441860113330122,1.38046,1.69952,240,38.583333333333336,0.0676359110048847,38.4,38.7,240,2.35339025,0.35622352590985995,1.72809,2.98027,84.49,97.05,88.68,98.0,88.87,83.73,98.0,96.88,84.66,96.05,65.4,90.24,2025-04-01 08:20:05,2025-04-01 08:40:00
Gear Reducer,27,240,1.7774462916666667,0.15263676844720814,1.52904,2.13534,240,1.717257875,0.1595361078870024,1.44387,2.08779,240,38.66833333333333,0.09416742264044967,38.5,38.8,240,2.5703840833333333,0.49698789055063286,1.81231,3.62554,81.32,97.78,90.27,98.0,85.68,85.36,98.0,97.08,87.65,96.7,74.31,91.07,2025-04-01 08:40:05,2025-04-01 09:00:00
Gear Reducer,28,240,1.689827875,0.11838956984012529,1.51831,2.17466,240,1.605757875,0.12911200009398394,1.4225,2.13007,240,38.492916666666666,0.10585294791825965,38.4,38.8,240,2.385467625,0.4123789242326036,1.68464,3.60112,86.22,97.16,88.37,98.0,88.73,84.07,98.0,96.92,83.63,95.86,66.18,90.0,2025-04-01 09:00:05,2025-04-01 09:20:00
Gear Reducer,29,240,1.6988038333333333,0.07691591958536595,1.53424,1.87347,240,1.61673525,0.07749336155088415,1.44546,1.79689,240,39.25833333333333,0.26181961701703427,38.8,39.6,240,2.4002153333333336,0.326058540238789,1.77779,2.9579,82.76,97.96,89.89,98.0,88.36,85.68,98.0,96.96,83.66,96.07,68.81,91.35,2025-04-01 09:20:05,2025-04-01 09:40:00
Gear Reducer,30,240,1.706148625,0.09699854992329938,1.49077,1.88338,240,1.629620125,0.0932858284720041,1.40584,1.80753,240,39.50541666666666,0.10192618408139853,39.3,39.7,240,2.40935825,0.365538320635459,1.66243,3.04712,82.46,97.06,90.22,98.0,88.03,85.36,98.0,96.91,84.63,96.19,70.09,90.57,2025-04-01 09:40:05,2025-04-01 10:00:00
Gear Reducer,31,240,1.704825375,0.09961946642635758,1.51403,1.91436,240,1.6262887083333333,0.09611195504467031,1.43076,1.83823,240,39.614583333333336,0.10427992448179461,39.5,39.8,240,2.3947638333333336,0.3817898895182823,1.75949,3.05677,82.41,97.24,90.12,98.0,87.62,85.77,98.0,96.97,80.73,96.25,70.17,89.74,2025-04-01 10:00:05,2025-04-01 10:20:00
Gear Reducer,32,240,1.7710114583333334,0.12060301841580276,1.53713,2.09247,240,1.7081975,0.1229077068560085,1.4638,2.04096,240,39.845416666666665,0.09090337721362812,39.6,40.0,240,2.459615375,0.4205548188197287,1.73409,3.35065,81.16,97.28,90.62,98.0,85.64,85.27,98.0,97.01,88.69,97.05,73.86,90.42,2025-04-01 10:20:05,2025-04-01 10:40:00
Gear Reducer,33,240,1.6919415416666665,0.09239844946374204,1.5345,2.06392,240,1.5963535833333333,0.09836500174704406,1.44367,2.00874,240,40.275,0.21715158695133835,39.9,40.5,240,2.296052875,0.3692431409963782,1.70624,3.25345,88.08,96.77,89.33,98.0,89.63,85.48,98.0,96.88,83.67,97.76,65.58,90.89,2025-04-01 10:40:05,2025-04-01 11:00:00
Gear Reducer,34,240,1.6813345833333335,0.0883349901237352,1.49678,1.85823,240,1.599933,0.08355595259199963,1.42606,1.77086,240,40.682916666666664,0.20125088251407613,40.5,41.1,240,2.343406041666667,0.349245926113477,1.66675,2.96846,80.05,97.65,91.46,98.0,88.19,87.14,98.0,96.85,82.49,97.61,69.52,91.36,2025-04-01 11:00:05,2025-04-01 11:20:00
Gear Reducer,35,240,1.6753414166666665,0.08379880461491335,1.50494,1.84223,240,1.589152625,0.07948768917723951,1.42077,1.75252,240,41.17583333333334,0.15738226433406624,40.9,41.5,240,2.340747125,0.35025935138927106,1.71745,2.90731,87.88,97.44,89.57,98.0,89.43,86.78,98.0,96.83,81.81,97.59,68.0,90.02,2025-04-01 11:20:05,2025-04-01 11:40:00
Gear Reducer,36,240,1.7365684166666666,0.12300357866002488,1.48893,2.167,240,1.6635224583333332,0.12973920248442763,1.40454,2.11505,240,41.44666666666667,0.15601380334453857,41.2,41.7,240,2.4142186249999997,0.4138506857457697,1.65325,3.59691,78.91,97.25,90.92,98.0,87.28,86.27,98.0,96.95,89.3,97.64,70.88,92.0,2025-04-01 11:40:05,2025-04-01 12:00:00
Gear Reducer,37,240,1.7182555000000002,0.07800390906790823,1.53987,1.89447,240,1.6457380833333335,0.0803150166536539,1.45082,1.82511,240,41.4775,0.10546767733454854,41.3,41.7,240,2.3951425416666665,0.3287702559917695,1.7351,3.08104,87.77,97.0,90.01,98.0,90.14,85.98,98.0,96.85,84.68,97.8,66.59,90.31,2025-04-01 12:00:05,2025-04-01 12:20:00
